model,equation,expr,method,numeric,symbolic,nmse,acc01
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_1,1*x + -4,direct,False,False,24.0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_1,1*x + -4,cot,False,False,74.5,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_1,1*x + -4,llmsr,True,True,0.0,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_1,1*x + -4,lasr,False,False,1.0,0.3333333333333333
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_2,2*x**3 + -2*x + -4,direct,False,False,1.5400641025641026,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_2,2*x**3 + -2*x + -4,cot,False,False,1.1434294871794872,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_2,2*x**3 + -2*x + -4,llmsr,True,False,4.7934045693609767e-29,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_2,2*x**3 + -2*x + -4,lasr,False,False,0.10897435897435898,0.3333333333333333
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_3,5*x**2 + -3*x + 4,direct,False,False,1.9876681614349774,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_3,5*x**2 + -3*x + 4,cot,False,False,2.130605381165919,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_3,5*x**2 + -3*x + 4,llmsr,True,False,1.0390943055935288e-29,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_3,5*x**2 + -3*x + 4,lasr,False,False,0.35986547085201787,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_4,1*x + -4,direct,False,False,24.0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_4,1*x + -4,cot,False,False,74.5,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_4,1*x + -4,llmsr,True,True,0.0,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_4,1*x + -4,lasr,False,False,1.0,0.3333333333333333
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_5,2*x + 4,direct,False,False,inf,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_5,2*x + 4,cot,False,False,3.375,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_5,2*x + 4,llmsr,True,True,0.0,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_5,2*x + 4,lasr,True,True,0.0,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_6,5*x**3 + -1*x + 5,direct,False,False,2.0437898089171975,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_6,5*x**3 + -1*x + 5,cot,False,False,2.0905368516833485,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_6,5*x**3 + -1*x + 5,llmsr,True,False,4.6585143538529266e-30,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_6,5*x**3 + -1*x + 5,lasr,False,False,0.06107825295723385,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_7,5*x**2 + 2*x + -2,direct,False,False,2.571428571428571,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_7,5*x**2 + 2*x + -2,cot,False,False,2.0890318212593093,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_7,5*x**2 + 2*x + -2,llmsr,True,False,2.0140788582183042e-29,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_7,5*x**2 + 2*x + -2,lasr,False,False,0.23358158429248474,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_8,5*x + 0,direct,False,False,4.48,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_8,5*x + 0,cot,False,False,1.86,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_8,5*x + 0,llmsr,True,False,1.8932661725304283e-31,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_8,5*x + 0,lasr,False,False,0.16,0.3333333333333333
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_9,4*x + 1,direct,False,False,5.15625,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_9,4*x + 1,cot,False,False,1.75,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_9,4*x + 1,llmsr,True,True,0.0,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_9,4*x + 1,lasr,False,False,0.09375,0.3333333333333333
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_10,2*x + 1,direct,False,False,1.125,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_10,2*x + 1,cot,True,True,0.0,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_10,2*x + 1,llmsr,True,True,0.0,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_10,2*x + 1,lasr,False,False,0.25,0.3333333333333333
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_11,4*x**2 + -3*x + 0,direct,False,False,1.835564053537285,0.3333333333333333
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_11,4*x**2 + -3*x + 0,cot,False,False,1.2304015296367115,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_11,4*x**2 + -3*x + 0,llmsr,True,False,9.41203068561972e-31,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_11,4*x**2 + -3*x + 0,lasr,True,False,0.011472275334608031,0.6666666666666666
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_12,5*x**3 + 0*x + -5,direct,False,False,1.9026519337016574,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_12,5*x**3 + 0*x + -5,cot,False,False,1.7721546961325967,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_12,5*x**3 + 0*x + -5,llmsr,True,False,3.302581433924165e-30,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_12,5*x**3 + 0*x + -5,lasr,True,False,0.02243093922651934,0.6666666666666666
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_13,4*x**2 + 4*x + -4,direct,False,False,2.4843749999999996,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_13,4*x**2 + 4*x + -4,cot,False,False,1.9675164473684208,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_13,4*x**2 + 4*x + -4,llmsr,True,False,2.656566946447404e-31,1.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_13,4*x**2 + 4*x + -4,lasr,False,False,0.3059210526315789,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_14,1*x**3 + 4*x + -1,direct,False,False,2.330564784053156,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_14,1*x**3 + 4*x + -1,cot,False,False,1.7641196013289036,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,eq_14,1*x**3 + 4*x + -1,llmsr,True,False,6.55200087392867e-33,1.0
